date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:38	45300/45300	---M--	200	added ('OK')	image/jpeg	etag:%22582088b-b0f4-549b14028ad80%22	https://www.surfprescriptions.com/images/feet-bw.jpg	D:/Downloads/Surf/www.surfprescriptions.com/images/feet-bw.jpg	(from https://www.surfprescriptions.com/style.css)
13:04:38	177832/177832	---M--	200	added ('OK')	image/jpeg	etag:%225820895-2b6a8-549b14028ad80%22	https://www.surfprescriptions.com/images/connect-full.jpg	D:/Downloads/Surf/www.surfprescriptions.com/images/connect-full.jpg	(from https://www.surfprescriptions.com/style.css)
13:04:40	93068/93068	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.0/jquery.min.js	D:/Downloads/Surf/ajax.googleapis.com/ajax/libs/jquery/1.9.0/jquery.min.js	(from https://www.surfprescriptions.com/boards.html)
13:04:40	4584/4584	---M-Z	200	added ('OK')	text/html	etag:%225820899-11e8-549b13f530e00-gzip%22	https://www.surfprescriptions.com/fmoney.html	D:/Downloads/Surf/www.surfprescriptions.com/fmoney.html	(from https://www.surfprescriptions.com/boards.html)
13:04:42	4594/4594	---M-Z	200	added ('OK')	text/html	etag:%22582083d-11f2-549b13f530e00-gzip%22	https://www.surfprescriptions.com/gmoney.html	D:/Downloads/Surf/www.surfprescriptions.com/gmoney.html	(from https://www.surfprescriptions.com/boards.html)
13:04:42	187510/187510	---M--	200	added ('OK')	image/png	etag:%225820870-2dc76-549b13fae9b80%22	https://www.surfprescriptions.com/boards/gmoneyii.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/gmoneyii.png	(from https://www.surfprescriptions.com/boards.html)
13:04:43	4504/4504	---M-Z	200	added ('OK')	text/html	etag:%225820851-1198-549b13f530e00-gzip%22	https://www.surfprescriptions.com/ndr.html	D:/Downloads/Surf/www.surfprescriptions.com/ndr.html	(from https://www.surfprescriptions.com/boards.html)
13:04:43	231818/231818	---M--	200	added ('OK')	image/png	etag:%22582086a-3898a-549b13fae9b80%22	https://www.surfprescriptions.com/boards/fmoney.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/fmoney.png	(from https://www.surfprescriptions.com/boards.html)
13:04:43	4643/4643	---M-Z	200	added ('OK')	text/html	etag:%22582087f-1223-549b13f530e00-gzip%22	https://www.surfprescriptions.com/newbuddy.html	D:/Downloads/Surf/www.surfprescriptions.com/newbuddy.html	(from https://www.surfprescriptions.com/boards.html)
13:04:44	4554/4554	---M-Z	200	added ('OK')	text/html	etag:%225820881-11ca-549b13f530e00-gzip%22	https://www.surfprescriptions.com/proiixv.html	D:/Downloads/Surf/www.surfprescriptions.com/proiixv.html	(from https://www.surfprescriptions.com/boards.html)
